SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
a02f1ada716e9b601d0223922d7e594073a2806c,160,9.703,0,2,15,3.539,0,0,0
6134f3867e9ee8cd55de8a4774a7a88324dd64e5,160,79.439,0,10,48,6.296,9,0,0
7baa9558512be83501a7a55cc28d479f55fe5ee3,160,78.558,0,4,17,4.090,9,0,0
cb55d5257375727c2504152609abf52e815dff07,24,11.313,0,4,12,5.779,1,0,0
ce6fcf061ac67083c372a9de00b6f2d9c547d716,160,77.307,0,7,27,12.689,9,0,0
06a32ee38abd15691f802949c797e428c8b9f07b,160,82.234,0,13,97,5.914,12,0,0
2f3ff1431ce1fb76d196d902a5475233b4a40fef,0,15.835,0,5,13,4.605,0,0,0
4b279a4f9b5f6719ef1d99014d6967eb460488e5,0,4.654,0,0,0,4.624,0,0,0
e31ec7a8acded7cc6ed731a391ddaf86d13329da,0,12.847,0,5,13,7.268,0,0,0
6a3723db00bc61b67e48e38180a7e8c483c36e78,0,4.399,0,0,0,5.385,0,0,0
53667945a46b21043ee0081cb4e79cad55a8a1cc,34,15.886,0,10,50,6.510,2,0,0
7d68643eb689d405218fb0b16245742e54f845ac,2,9.742,0,6,27,5.067,0,0,0
5c59d54443ad209047a7a9b03d1dadc614b3e86c,1,10.258,0,1,1,4.974,0,0,0
511004a7d4b7bc94830bca223baf6c040f0c0ebf,28,14.669,0,9,47,7.987,2,0,0
fe32984f0a4f8d859937281b380d84dc58bdd9e7,3,16.416,0,6,34,4.871,0,0,0
802d8ad132617255852663e82e142666d46bfdbe,0,15.751,0,0,0,5.602,0,0,0
12dfa2f5e391134af41933386e47787b0c1235c0,160,93.094,0,5,12,5.209,12,0,0
9a692e1f226b30058ba4a190d8b51bc90c2e5540,2,14.028,0,5,12,8.495,0,0,0
6522cb0651600764b3148ad7cf00a87547710049,160,89.293,0,4,13,5.768,8,0,0
4bacdbf3254784b0148e2fd63bfb8655b609af04,2,15.540,0,6,20,5.514,0,0,0
sum,1216,670.966,0,102,458,120.186,64,0,0
arith_mean,81.07,33.55,-nan,6.00,26.94,6.01,7.11,-nan,-nan
geo_mean,25.77,20.65,-nan,5.19,18.95,5.77,5.31,-nan,-nan
