SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
8045d9459af361c9560931dfb5523f9fb00b6990,160,77.917,0,54,0,5.304,2,0,0
930c6819bb1e419cf0ecf00582abf2553e131aac,0,4.092,0,0,0,4.709,0,0,0
d4d887825ce4380123f50f0545abe1d26852a7e4,0,6.350,0,0,0,5.093,0,0,0
5d4868051c4f8d6a8f2f5bbbdd3c764c815b0b6f,160,75.039,0,9,0,4.692,2,0,0
ec156b31a3861a0d60c8a9d9bcebfc9a4f5f986d,160,75.834,0,6,0,4.629,2,0,0
491e8bea19dcfd588158b31c3ef9bbf00b7d3d55,160,80.773,0,2,0,5.818,2,0,0
269699bd434e41988eec3dd3ad8856be8059a00a,160,82.072,0,19,0,5.720,2,0,0
3860ffaa7dca47a9be908d96cfbdca676cd08b79,160,83.555,0,29,0,5.439,2,0,0
5a0a54c1309690a5324350f470fa22ebb6611b9e,160,82.716,0,2,0,4.901,2,0,0
ec48f1a0c93f0d06ffbf7dbbc0b0c1484b10bd4d,160,82.549,0,2,0,5.333,2,0,0
80ac5c3277b3f4859d70549f953d42fa23114ccd,160,85.410,0,19,0,5.753,3,0,0
554e87b30c38c57cc391d73fdd7dbbbae37aaf67,160,84.664,0,8,0,5.061,3,0,0
71bb14207ebdae703d6e5cbfa1f55b20bb353910,0,6.762,0,0,0,5.774,0,0,0
15bc458c8a956c9719a9c34d74d49503ce1e0fe6,28,40.152,0,8,0,5.053,3,0,0
f849afeedc714d79bf86b8aa74b8683a55942eff,0,7.201,0,0,0,8.000,0,0,0
73d5dcbf018e20674e1b56c70e79dd3dfd5b4dbd,160,89.237,0,8,0,7.080,3,0,0
c499c395cef38f9bb4b52d157bc336bff0644b94,160,90.588,0,20,0,6.721,3,0,0
7290786e82db354f1d310c599f84150a7ec0ef8b,160,90.085,0,51,0,6.803,3,0,0
0882294f8a6100fe81b73a714357477c12172f87,38,54.989,0,12,0,5.983,3,0,0
sum,2146,1199.985,0,249,0,107.866,37,0,0
arith_mean,143.07,63.16,0,16.60,0,5.68,2.47,0,0
geo_mean,129.43,44.90,0,10.29,0,5.61,2.42,0,0
