SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
b18e01a9920fdbcb4fbf1725c0908851a0a3e7fc,160,86.509,0,484,3961,0,1,0,0
e40032eda81cc22dc4f63b18044c7515b849960d,3,19.149,0,51,545,0,0,0,0
03d5a5c6f4d9a1b7ee18b4efe9797492fd55949e,0,18.405,0,116,1474,0,0,0,0
2234330f7e9f24b4efd2beba6ce2743114497bc7,56,63.340,0,375,3966,0,0,0,0
c7d7332a53ea0620118dec480ff6dc77be988640,22,17.980,0,118,1039,0,0,0,0
181cadbba3efe8573a2263a7d6cd60c140077491,32,17.582,0,117,1040,0,0,0,0
9c0f946c2a3da7014c3ac6926bb19d73d0158041,26,19.314,0,117,1040,0,0,0,0
bf2b195189bf2f47cf7a777e77e74b8f53bced43,32,17.153,0,117,1040,0,0,0,0
c894b5366ccfaed194e158d3cd13f8635b00e085,32,16.098,0,117,1041,0,0,0,0
6b72db7f24f1c530a837734094fd01d2b8f679a1,25,17.640,0,117,1041,0,0,0,0
215eb26362e48c6839593fb8a723763178731bb9,50,60.279,0,184,2021,0,1,0,0
ec43692567bf4dc297cefc79ea903e403afa0e31,4,16.548,0,14,159,0,0,0,0
b233dbb777fb03bfcaf3677001f5fda27288c5f0,5,16.311,0,24,320,0,0,0,0
7e36a361b38614ab202a5c4d7490750e1bb1d65a,24,23.241,0,61,752,0,0,0,0
a879c181168edb010a1075d507072ab068da3b98,3,16.983,0,25,340,0,0,0,0
818e789b26bc27956cfbf48766d2eb421d9d897c,16,16.835,0,130,1090,0,0,0,0
74c78652dfefbc2596c925827c1015e51a51e003,3,16.877,0,25,340,0,0,0,0
bdc5223611c99b8d326b928084d62b42df466f68,25,15.649,0,118,1036,0,0,0,0
2c5c2aa9de3e6fa15955def6b810927aa945f22d,61,16.528,0,19,189,0,0,0,0
6061a354c80e5fd4cf7293c67f5b0841f7d901b0,13,16.248,0,128,1146,0,0,0,0
sum,592,508.669,0,2457,23580,0,2,0,0
arith_mean,31.16,25.43,0,122.85,1179.00,0,1.00,0,0
geo_mean,18.19,21.49,0,83.06,845.61,0,1.00,0,0
