SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
9922f9e9c2dbcf235cd60dbcc858b6bb09e161d4,160,13.278,9,9,0,2.965,0,0,0
9935c60ac67a3353a565ad6b2241ffaf051421a8,27,10.327,10,9,0,2.197,0,0,0
6b6056f0b74bdc800ca7eee0565ef42bb28ffb5c,27,14.988,14,12,0,2.248,0,0,0
11f61545596e9b642176c65a4418b81dac1a0a28,24,10.002,14,9,0,2.327,0,0,0
0e1b4b92c63836fe9224e1a54d60aeed0619adf2,24,9.962,14,9,0,2.383,0,0,0
8452318ec4a4cd88882dafe38cdde2a572ab5971,24,13.841,14,13,0,2.342,0,0,0
47def364f62597cb278375626b708f324ca68034,24,9.978,15,11,0,2.344,0,0,0
9323fe0c960896b2869346ab984d6db93643c65f,24,10.127,17,12,0,2.376,0,0,0
sum,334,92.503,107,84,0,19.182,0,0,0
arith_mean,41.75,11.56,13.38,10.50,0,2.40,0,0,0
geo_mean,31.33,11.41,13.13,10.38,0,2.39,0,0,0
