SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
cbb51e2d,160,83.282,0,92,436,5.844,0,0,0
9102da6e,160,81.843,0,71,577,5.536,0,0,0
1dee974c,0,8.326,0,41,192,5.481,0,0,0
e0438f71,0,8.296,0,41,192,5.522,0,0,0
884b179f,20,14.890,0,70,380,5.510,0,0,0
593ba0b4,1,23.523,0,66,324,5.512,0,0,0
b7277646,0,8.251,0,65,309,5.532,0,0,0
4a8f6870,7,11.368,0,97,453,5.557,0,0,0
9495fd78,0,3.787,0,0,0,5.563,0,0,0
sum,348,243.566,0,543,2863,50.057,0,0,0
arith_mean,69.60,27.06,0,67.88,357.88,5.56,0,0,0
geo_mean,20.46,15.72,0,65.03,335.32,5.56,0,0,0
