SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
c6d5faf38703f9930b754483aafc7d96670efd65,160,18.930,0,90,0,5.540,0,0,0
326c3996fed38a2945c441b67b908755fefb330e,160,17.205,0,86,0,3.500,0,0,0
a4a836590882416c5f9d6d584e561a91aeb3261c,39,15.244,0,87,0,3.255,2,0,0
592263bb36a87e9b299185ccbc6ef6cab5fe9ad6,39,16.971,0,86,0,3.249,3,0,0
279b074c230a4d38041a9f40726739b0100e67fb,39,15.647,0,82,0,3.244,2,0,0
e87be91b7284e0c95fb987b4626ada8fb2bf3884,39,14.485,0,82,0,3.161,2,0,0
a7997642e89f63ea994271d7f163d186bd19ee98,160,18.812,0,88,0,3.138,2,0,0
507e6b54112d96df593652c6ab07625415a7be58,45,17.041,0,89,0,3.582,2,0,0
424160bb1c2cd5c9594142c5b13c5770081a8da9,43,19.259,0,84,0,3.929,2,0,0
134926fe66ac8df811df849bba452676292be60d,160,22.647,0,100,0,3.928,2,0,0
c99dbb219136ea9ed30dec718985278cbaeea404,160,39.738,0,121,0,4.786,5,0,0
87e483f5a462f37fc8079dd5c89222599c3fb0e6,160,38.201,0,125,0,4.589,6,0,0
a5e4956d0c5734e60abb254c920efe64fc12fb01,160,41.288,0,33,0,3.659,5,0,0
4521b49743f083a9a60e9f8e1c78a5de3884a5e7,42,43.111,0,40,0,4.149,9,0,0
sum,1406,338.579,0,1193,0,53.709,42,0,0
arith_mean,100.43,24.18,-nan,85.21,-nan,3.84,3.50,-nan,-nan
geo_mean,80.79,22.23,-nan,80.87,-nan,3.78,2.99,-nan,-nan
