SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
a51c95783db026cd20d46bd74b96f2c95a71429d,160,10.288,0,27,128,5.453,0,0,0
d1f8470cf3b1aa8624449e90bec3db961459952b,160,9.825,0,27,155,2.782,0,0,0
343e636bda736e2d1596139b5da5fe7a562e2344,160,7.209,0,11,20,2.541,0,0,0
192c9ebd667d4c69e51212ad67015fb062977486,160,25.959,0,1,8,2.994,9,0,0
54a1e5d1d22428c34713bea5ce5acde166a0e004,2,9.521,0,2,4,2.637,0,0,0
48496e6233c0ea81961858cba978d9c5f991f2e8,2,7.690,0,1,4,2.378,0,0,0
52f855926525bfc98ca807c95631ac8efed12782,2,6.763,0,2,7,2.464,0,0,0
fb19114afbeb77d7e60ed03f5bf8201084c13420,0,7.817,0,1,6,2.636,0,0,0
c984455050bd7a3dff0892687db711170d062f2c,0,3.958,0,0,0,3.025,0,0,0
92e7794bdf498f97e25e1114d8a753b2851b42bd,160,9.566,0,29,159,3.395,0,0,0
e8f0072be75e9098e3a6a63f767b01a751abada6,160,38.821,0,71,305,4.253,2,0,0
d8cd52e46b47ebd48785c5715dea25cbd0d4586f,45,10.876,0,20,49,3.835,0,0,0
9bd19b0fcf89fe0e15f9ce9189533b78a87d9233,160,55.892,0,23,55,3.375,2,0,0
c51cc81d9157c99a8970c92e2f6b9c5444148c9b,11,8.988,0,2,8,3.942,0,0,0
74f38d894d7f26c902918ba8c58f82c77c11a18e,42,10.757,0,22,41,3.453,0,0,0
13d5dd5b8a7456fa848ba18aeb59c3abd8e94f93,28,9.119,0,5,11,3.494,0,0,0
d33e6c912d23d88887060afcc531d7059db763a6,45,12.591,0,73,335,3.841,0,0,0
4513571acf4b8ae5c0a7665ab4108de0440b23b5,42,9.161,0,25,54,3.972,0,0,0
4a59a21be1fe6174026ea6ffca8d8a00ce3fecd1,42,10.244,0,50,228,4.365,0,0,0
f79a6ca5b36429b801eec501fee6e7d056cf2528,0,4.907,0,0,0,3.497,0,0,0
sum,1381,269.952,0,392,1577,68.332,13,0,0
arith_mean,81.24,13.50,-nan,21.78,87.61,3.42,4.33,-nan,-nan
geo_mean,38.73,10.62,-nan,9.73,34.22,3.34,3.30,-nan,-nan
